Nome,Quantità,Componente
"Breadboard 11, Breadboard 22, 4",3," Breadboard"
"UOpAmp1 (INA), UOpAmp2 (INA), UOpAmp3 (INA), UOpAmp4 (HPF), UOpAmp5 (Amplif1), UOpAmp6 (Notch Twin-T), ULPF (Isolation Amplifier), UBPF Antialiasing, UExit Amplif, U1",10," Amplificatore operazionale 741"
"PAlim +, PAlim -",2,"5 , 5  Alimentatore"
"RR2, RR1",2,"25 kΩ Resistenza"
"RRG",1,"510 Ω Resistenza"
"RR3, RR4, RR5, RR6",4,"40 kΩ Resistenza"
"RR7, RR8",2,"160 kΩ Resistenza"
"CC2, CC1",2,"1 uF Condensatore"
"RR9, R1",2,"10 kΩ Resistenza"
"RR10",1,"90 kΩ Resistenza"
"RR11, RR12, RR_B",3,"33 kΩ Resistenza"
"CC3, CC4",2,"100 nF Condensatore"
"RR13",1,"16 kΩ Resistenza"
"CC5",1,"200 nF Condensatore"
"UAND",1," Porta AND quadrupla"
"UFlip-Flop",1," Doppio flip-flop D"
"1, 2, 5, 6, 3, 7, 13, 15, 17",9," Breadboard mini"
"S1, S3",2," Interruttore a scorrimento"
"S2",1," Pulsante"
"UInverter",1," Invertitore sestuplo"
"UTimer (Isolation Amplifier)",1," Timer"
"RR_A",1,"6.8 kΩ Resistenza"
"CC6",1,"100 uF Condensatore"
"Uoptocoupler (Isolation Amplifier)",1," Optoaccoppiatore"
"RR_OC",1,"270 Ω Resistenza"
"CC7",1,"1 nF Condensatore"
"RR15, RR14",2,"22 kΩ Resistenza"
"CC8, CC9, CC10, CC11",4,"10 nF Condensatore"
"RR16, RR17",2,"8.2 kΩ Resistenza"
"D4, D3, D2, D1",4,"Rosso LED"
"U3",1," LCD 16 x 2"
"U2",1," Arduino Uno R3"
"R2, R3, R4, R5",4,"330 Ω Resistenza"
"R6",1,"220 kΩ Resistenza"
"R7, R8, R9, R10, R11, R12",6,"1 MΩ Resistenza"
"R13",1,"1 kΩ Resistenza"
"R14",1,"4.7 kΩ Resistenza"
"R15",1,"220 Ω Resistenza"
